eventName,eventSource,awsService,description,mitreAttackTactics,mitreAttackTechniques,mitreAttackSubTechniques,usedInWild,incidents,researchLinks,securityImplications,alerting,simulation,permissions,unverifiedMitreAttackTechniques
GetListingView,discovery-marketplace.amazonaws.com,Marketplace,"Retrieves detailed metadata for an AWS Marketplace listing, including pricing, fulfillment, and entitlement options used by Bedrock.",TA0007 - Discovery,T1580 - Cloud Infrastructure Discovery,,True,"[{""description"": ""AI-assisted cloud intrusion achieves admin access in 8 minutes"", ""link"": ""https://www.sysdig.com/blog/ai-assisted-cloud-intrusion-achieves-admin-access-in-8-minutes""}]",[],"Attackers might use GetListingView to learn which commercial Bedrock providers are available, their cost controls, and what entitlements must be abused to spin up expensive inference jobs.",[],"[{""type"": ""commandLine"", ""value"": ""aws marketplace-catalog get-listing-view --listing-id l-abc123 --catalog BedrockMarketplace""}]",https://aws.permissions.cloud/iam/aws-marketplace#aws-marketplace-GetListingView,"[{""technique"": ""T1069 - Permission Groups Discovery"", ""reason"": ""Listing details reveal which IAM roles or marketplace entitlements are required, helping attackers plan privilege escalation.""}, {""technique"": ""T1087 - Account Discovery"", ""reason"": ""Information about usage terms per account can indicate which AWS accounts already have access to specific Bedrock models.""}]"
SearchAgreements,agreement-marketplace.amazonaws.com,Marketplace,Searches across all agreements that a proposer has in AWS Marketplace.,TA0007 - Discovery,T1580 - Cloud Infrastructure Discovery,,True,"[{""description"": ""AI-assisted cloud intrusion achieves admin access in 8 minutes"", ""link"": ""https://www.sysdig.com/blog/ai-assisted-cloud-intrusion-achieves-admin-access-in-8-minutes""}]",[],"Attackers might use SearchAgreements to enumerate Bedrock contracts, determine billing limits, and time their abuse before defenders notice unusual marketplace usage.",[],"[{""type"": ""commandLine"", ""value"": ""aws marketplace-agreement search-agreements --catalog BedrockMarketplace --max-results 20""}]",https://aws.permissions.cloud/iam/aws-marketplace#aws-marketplace-SearchAgreements,"[{""technique"": ""T1087.004 - Cloud Account"", ""reason"": ""Agreement listings reveal which AWS accounts have active contracts for third-party AI models, guiding attackers toward high-value tenants.""}, {""technique"": ""T1078 - Valid Accounts"", ""reason"": ""Knowing which principals accepted agreements indicates which compromised identities already have the required entitlements.""}]"
CreateService,ecs.amazonaws.com,ECS,Runs and maintains your desired number of tasks from a specified task definition.,TA0040 - Impact,T1496 - Resource Hijacking,,True,"[{""description"": ""Tales from the cloud trenches: Amazon ECS is the new EC2 for crypto mining"", ""link"": ""https://securitylabs.datadoghq.com/articles/tales-from-the-cloud-trenches-ecs-crypto-mining/""}]",[],"Attackers might use CreateService in AWS ECS to orchestrate and deploy unauthorized services, potentially for malicious activities such as resource hijacking.",[],"[{""type"": ""commandLine"", ""value"": ""aws ecs create-service --service-name TrailDiscoverService --task-definition TrailDiscoverTaskDefinition""}]",https://aws.permissions.cloud/iam/ecs#ecs-CreateService,"[{""technique"": ""T1059 - Command and Scripting Interpreter"", ""reason"": ""By creating ECS services, adversaries can execute commands or scripts in the context of containers that run on Unix-based systems""}, {""technique"": ""T1556 - Modify Authentication Process"", ""reason"": ""The AWS CreateService API call can be used to create tasks that modify authentication processes within a cloud environment.""}, {""technique"": ""T1036 - Masquerading"", ""reason"": ""Match Legitimate Name or Location: An adversary could create services with names that mimic legitimate services to avoid detection.""}, {""technique"": ""T1071 - Application Layer Protocol"", ""reason"": ""Malicious ECS tasks could communicate over common web protocols to blend in with normal network traffic.""}, {""technique"": ""T1090 - Proxy"", ""reason"": ""Adversaries might set up a chain of ECS services to act as proxies, hiding their true location.""}, {""technique"": ""T1027 - Obfuscated Files or Information"", ""reason"": ""Adversaries might create services that deploy obfuscated scripts or binaries to evade detection.""}, {""technique"": ""T1046 - Network Service Discovery"", ""reason"": ""ECS tasks might be used to run discovery scripts to enumerate network services.""}, {""technique"": ""T1210 - Exploitation of Remote Services"", ""reason"": ""Adversaries might create services that exploit vulnerabilities in other services or tasks within the ECS cluster to gain unauthorized access or escalate privileges""}]"
RegisterTaskDefinition,ecs.amazonaws.com,ECS,Registers a new task definition from the supplied family and containerDefinitions.,TA0040 - Impact,T1496 - Resource Hijacking,,True,"[{""description"": ""Tales from the cloud trenches: Amazon ECS is the new EC2 for crypto mining"", ""link"": ""https://securitylabs.datadoghq.com/articles/tales-from-the-cloud-trenches-ecs-crypto-mining/""}]",[],Attackers might use RegisterTaskDefinition to deploy containers with malicious tasks in AWS ECS.,"[{""type"": ""sigma"", ""value"": ""https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_ecs_task_definition_cred_endpoint_query.yml""}]","[{""type"": ""commandLine"", ""value"": ""aws ecs register-task-definition --family 'xtdb-bench-dev' --network-mode 'awsvpc' --container-definitions '[{\""name\"":\""bench-container\"", \""cpu\"":2048, \""memory\"":4092 }]'""}]",https://aws.permissions.cloud/iam/ecs#ecs-RegisterTaskDefinition,"[{""technique"": ""T1053 - Scheduled Task/Job"", ""reason"": ""Registering a task definition can be leveraged to create scheduled tasks within ECS, allowing for persistence and automated execution of malicious tasks.""}, {""technique"": ""T1105 - Ingress Tool Transfer"", ""reason"": ""Task definitions could be used to download and execute additional tools or scripts from external sources""}, {""technique"": ""T1562 - Impair Defenses"", ""reason"": ""ECS tasks can be configured to disable or modify security tools within the container environment, aiding in defense evasion.""}, {""technique"": ""T1059 - Command and Scripting Interpreter"", ""reason"": ""The task definitions can contain Unix shell commands, facilitating execution of malicious scripts or commands.""}, {""technique"": ""T1036 - Masquerading"", ""reason"": ""Malicious task definitions can be disguised as legitimate ones to evade detection and blend in with normal operations""}, {""technique"": ""T1027 - Obfuscated Files or Information"", ""reason"": ""Container definitions within ECS can include obfuscated or packed scripts and binaries, making detection harder.""}]"
CreateCluster,ecs.amazonaws.com,ECS,Creates a new Amazon ECS cluster.,TA0040 - Impact,T1496 - Resource Hijacking,,True,"[{""description"": ""Tales from the cloud trenches: Amazon ECS is the new EC2 for crypto mining"", ""link"": ""https://securitylabs.datadoghq.com/articles/tales-from-the-cloud-trenches-ecs-crypto-mining/""}, {""description"": ""New tactics and techniques for proactive threat detection"", ""link"": ""https://reinforce.awsevents.com/content/dam/reinforce/2024/slides/TDR432_New-tactics-and-techniques-for-proactive-threat-detection.pdf""}]",[],"Attackers might use CreateCluster to provision unauthorized cluster resources, aiming to deploy malicious workloads or use compute resources for cryptojacking","[{""type"": ""sigma"", ""value"": ""https://github.com/SigmaHQ/sigma/blob/master/rules/cloud/aws/cloudtrail/aws_eks_cluster_created_or_deleted.yml""}]","[{""type"": ""commandLine"", ""value"": ""aws ecs create-cluster --cluster-name TrailDiscoverCluster""}]",https://aws.permissions.cloud/iam/ecs#ecs-CreateCluster,"[{""technique"": ""T1098 - Account Manipulation"", ""reason"": ""The creation of a new cluster could be part of manipulating accounts within AWS, enabling the attacker to maintain control or establish backdoor access.""}, {""technique"": ""T1053 - Scheduled Task/Job"", ""reason"": ""New ECS clusters can be configured to run tasks at scheduled intervals, which can be used to execute malicious activities regularly.""}, {""technique"": ""T1090 - Proxy"", ""reason"": ""An attacker might use the new ECS cluster to set up an external proxy, which can be used to relay commands and data, aiding in defense evasion and persistent access.""}, {""technique"": ""T1204 - User Execution"", ""reason"": ""Creating an ECS cluster to run container images, which might be malicious, facilitating execution of malicious code in the environment.""}, {""technique"": ""T1583 - Acquire Infrastructure"", ""reason"": ""Creating new ECS clusters is a form of acquiring infrastructure within AWS, which can be used to support further malicious activities.""}, {""technique"": ""T1027 - Obfuscated Files or Information"", ""reason"": ""The cluster could be used to deploy obfuscated code or data, making it harder to detect malicious activities.""}, {""technique"": ""T1578 - Modify Cloud Compute Infrastructure"", ""reason"": ""Creating a new ECS cluster modifies the cloud compute infrastructure, which can be leveraged for both execution and evasion purposes.""}, {""technique"": ""T1584 - Compromise Infrastructure"", ""reason"": ""Compromising cloud infrastructure to create ECS clusters enables attackers to establish control over resources. This can support further malicious activities, such as launching attacks or maintaining persistence in the environment.""}, {""technique"": ""T1210 - Exploitation of Remote Services"", ""reason"": ""An attacker might create a new ECS cluster to host services that exploit vulnerabilities in remote services for lateral movement or further attacks.""}]"
Search,resource-explorer-2.amazonaws.com,ResourceExplorer,Searches for resources and displays details about all resources that match the specified criteria.,TA0007 - Discovery,T1087 - Account Discovery,,True,"[{""description"": ""Tales from the cloud trenches: Amazon ECS is the new EC2 for crypto mining"", ""link"": ""https://securitylabs.datadoghq.com/articles/tales-from-the-cloud-trenches-ecs-crypto-mining/""}]",[],Attackers might use Search to list resorces.,[],"[{""type"": ""commandLine"", ""value"": ""aws resource-explorer-2 search --query-string 'service:iam'""}]",https://aws.permissions.cloud/iam/resource-explorer-2#resource-explorer-2-Search,"[{""technique"": ""T1069 - Permission Groups Discovery"", ""reason"": ""Attackers can create queries to discover permission groups, roles, and policies within the AWS environment, which might aid in understanding access levels across different resources.""}, {""technique"": ""T1538 - Cloud Service Discovery"", ""reason"": ""By specifying queries related to cloud services, attackers can discover details about various services in use, aiding in the mapping of the environment.""}, {""technique"": ""T1580 - Cloud Infrastructure Discovery"", ""reason"": ""The search results can reveal information about infrastructure components like EC2 instances, S3 buckets, and databases, providing attackers with critical data about the cloud architecture.""}, {""technique"": ""T1201 - Password Policy Discovery"", ""reason"": ""Queries can be tailored to discover password policies related to IAM users, assisting attackers in crafting password-based attacks.""}, {""technique"": ""T1552 - Unsecured Credentials"", ""reason"": ""If the search results reveal IAM roles or users with associated access keys, attackers might identify unsecured credentials that could be exploited for unauthorized access.""}, {""technique"": ""T1078 - Valid Accounts"", ""reason"": ""Searches might return details about valid accounts that could be targeted for unauthorized access, particularly if accounts are not adequately secured.""}]"
CreateRule,elasticloadbalancing.amazonaws.com,ELBv2,Creates a rule for the specified listener.,TA0005 - Defense Evasion,T1578 - Modify Cloud Compute Infrastructure,,False,[],"[{""description"": ""Rigging the Rules: Manipulating AWS ALB to Mine Sensitive Data"", ""link"": ""https://medium.com/@adan.alvarez/rigging-the-rules-manipulating-aws-alb-to-mine-sensitive-data-20e33dbc4994""}]",Attackers might use CreateRule to add rules that allow them access bypassing potential restrictions such as authentication.,[],"[{""type"": ""commandLine"", ""value"": ""aws elbv2 create-rule --listener-arn arn:aws:elasticloadbalancing:us-west-2:123456789012:listener/app/my-load-balancer/50dc6c495c0c9188/f2f7dc8efc522ab2 --priority 5 --actions Type=forward,TargetGroupArn=arn:aws:elasticloadbalancing:us-west-2:123456789012:targetgroup/my-targets/73e2d6bc24d8a067 --conditions '[{}]'""}]",https://aws.permissions.cloud/iam/elasticloadbalancing#elasticloadbalancing-CreateRule,"[{""technique"": ""T1203 - Exploitation for Client Execution"", ""reason"": ""By creating a malicious rule that directs traffic to a compromised endpoint, an attacker could exploit vulnerabilities in client applications to execute malicious code.""}, {""technique"": ""T1190 - Exploit Public-Facing Application"", ""reason"": ""By modifying or creating new rules, an attacker could exploit vulnerabilities in the public-facing application load balancer to gain initial access.""}, {""technique"": ""T1071 - Application Layer Protocol"", ""reason"": ""Creating rules that redirect traffic to malicious servers using HTTP/S or mail protocols for command and control communication.""}, {""technique"": ""T1562 - Impair Defenses"", ""reason"": ""Rules could be used to disable security controls or modify traffic patterns to evade detection tools and logs.""}, {""technique"": ""T1105 - Ingress Tool Transfer"", ""reason"": ""Rules can be set to allow the transfer of malicious tools or payloads through the load balancer to a compromised system.""}, {""technique"": ""T1027 - Obfuscated Files or Information"", ""reason"": ""Attackers can create rules that handle or route traffic in a manner that uses encoded or obfuscated data. This can include routing traffic to endpoints that encrypt the data payloads or encode commands to be less conspicuous""}, {""technique"": ""T1070 - Indicator Removal"", ""reason"": ""Rules could be used to route traffic in ways that delete or bypass log files to avoid detection.""}, {""technique"": ""T1496 - Resource Hijacking"", ""reason"": ""Creating rules that direct traffic to perform unauthorized actions like cryptocurrency mining or other forms of resource hijacking.""}]"
DescribeListeners,elasticloadbalancing.amazonaws.com,ELBv2,"Describes the specified listeners or the listeners for the specified Application Load Balancer, Network Load Balancer, or Gateway Load Balancer.",TA0007 - Discovery,T1526 - Cloud Service Discovery,,False,[],"[{""description"": ""Rigging the Rules: Manipulating AWS ALB to Mine Sensitive Data"", ""link"": ""https://medium.com/@adan.alvarez/rigging-the-rules-manipulating-aws-alb-to-mine-sensitive-data-20e33dbc4994""}]",Attackers might use DescribeListeners to get information about the load balancers listeners for potential future modifications.,[],"[{""type"": ""commandLine"", ""value"": ""aws elbv2 describe-listeners""}]",https://aws.permissions.cloud/iam/elasticloadbalancing#elasticloadbalancing-DescribeListeners,"[{""technique"": ""T1087 - Account Discovery"", ""reason"": ""By describing listeners, an adversary could identify configurations and attributes related to the load balancer, which may include discovering IAM roles or users with specific permissions.""}, {""technique"": ""T1046 - Network Service Scanning"", ""reason"": ""Describing listeners provides details about the services exposed by the load balancer, which helps in scanning and understanding the network topology.""}, {""technique"": ""T1069 - Permission Groups Discovery"", ""reason"": ""Querying listener details can reveal information about the permissions and roles associated with the load balancer, providing insight into group policies.""}, {""technique"": ""T1071 - Application Layer Protocol"", ""reason"": ""Load balancers typically handle various application layer protocols, and knowing listener configurations can assist in crafting command and control channels over allowed protocols.""}]"
DescribeLoadBalancers,elasticloadbalancing.amazonaws.com,ELBv2,Describes the specified load balancers or all of your load balancers.,TA0007 - Discovery,T1526 - Cloud Service Discovery,,False,"[{""description"": ""Crimson Collective: A New Threat Group Observed Operating in the Cloud"", ""link"": ""https://www.rapid7.com/blog/post/tr-crimson-collective-a-new-threat-group-observed-operating-in-the-cloud/""}]","[{""description"": ""Rigging the Rules: Manipulating AWS ALB to Mine Sensitive Data"", ""link"": ""https://medium.com/@adan.alvarez/rigging-the-rules-manipulating-aws-alb-to-mine-sensitive-data-20e33dbc4994""}]",Attackers might use DescribeLoadBalancers to get information about the load balancers for potential future attacks.,[],"[{""type"": ""commandLine"", ""value"": ""aws elbv2 describe-load-balancers --names TrailDiscoverLoadBalancer""}]",https://aws.permissions.cloud/iam/elasticloadbalancing#elasticloadbalancing-DescribeLoadBalancers,"[{""technique"": ""T1580 - Cloud Infrastructure Discovery"", ""reason"": ""The DescribeLoadBalancers API call directly provides information about the cloud infrastructure, specifically the load balancers, which can be used to understand the deployment and configurations of network resources in the cloud.""}, {""technique"": ""T1590 - Gather Victim Network Information"", ""reason"": ""Describing load balancers allows an adversary to obtain details on how network traffic is managed and routed within the cloud environment. This information can reveal critical network components and their configurations.""}, {""technique"": ""T1046 - Network Service Discovery"", ""reason"": ""Describing load balancers can reveal the network services that are being managed by these load balancers, including ports, protocols, and the IP ranges used, which are crucial for understanding the network service layout.""}, {""technique"": ""T1133 - External Remote Services"", ""reason"": ""Load balancers often manage external access to services. By describing them, an adversary can identify the external endpoints and understand how remote services are being accessed and managed.""}, {""technique"": ""T1482 - Domain Trust Discovery"", ""reason"": ""The DescribeLoadBalancers API call can provide information on how load balancers are configured across different domains, revealing trust relationships and how traffic is managed between different parts of the network.""}]"
ListInferenceProfiles,bedrock.amazonaws.com,Bedrock,Returns a list of inference profiles that you can use.,TA0007 - Discovery,T1580 - Cloud Infrastructure Discovery,,True,"[{""description"": ""AI-assisted cloud intrusion achieves admin access in 8 minutes"", ""link"": ""https://www.sysdig.com/blog/ai-assisted-cloud-intrusion-achieves-admin-access-in-8-minutes""}]",[],Attackers might use ListInferenceProfiles to identify high-cost deployments they can hijack for ML workload abuse or target for disruption.,[],"[{""type"": ""commandLine"", ""value"": ""aws bedrock list-inference-profiles""}]",https://aws.permissions.cloud/iam/bedrock#bedrock-ListInferenceProfiles,"[{""technique"": ""T1499 - Endpoint Denial of Service"", ""reason"": ""Understanding inference profiles helps an attacker identify choke points where they could exhaust capacity or disrupt service.""}, {""technique"": ""T1562 - Impair Defenses"", ""reason"": ""Profile metadata may reference monitoring hooks or logging sinks that adversaries can later disable.""}]"
InvokeModel,bedrock.amazonaws.com,Bedrock,Invokes the specified Amazon Bedrock model to run inference using the prompt and inference parameters provided in the request body.,"TA0007 - Discovery, TA0040 - Impact","T1580 - Cloud Infrastructure Discovery, T1496 - Resource Hijacking",,True,"[{""description"": ""LLMjacking: Stolen Cloud Credentials Used in New AI Attack"", ""link"": ""https://sysdig.com/blog/llmjacking-stolen-cloud-credentials-used-in-new-ai-attack/""}, {""description"": ""Detecting AI resource-hijacking with Composite Alerts"", ""link"": ""https://www.lacework.com/blog/detecting-ai-resource-hijacking-with-composite-alerts""}, {""description"": ""New tactics and techniques for proactive threat detection"", ""link"": ""https://reinforce.awsevents.com/content/dam/reinforce/2024/slides/TDR432_New-tactics-and-techniques-for-proactive-threat-detection.pdf""}, {""description"": ""When AI Gets Hijacked: Exploiting Hosted Models for Dark Roleplaying"", ""link"": ""https://permiso.io/blog/exploiting-hosted-models""}, {""description"": ""New Developments in LLM Hijacking Activity"", ""link"": ""https://www.wiz.io/blog/jinx-2401-llm-hijacking-aws""}, {""description"": ""Datadog threat roundup: top insights for Q4 2024"", ""link"": ""https://securitylabs.datadoghq.com/articles/2024-q4-threat-roundup/""}]",[],Attackers might use InvokeModel to check if the credentials have access to the LLMs and they have been enabled and invoke the model for resource hijacking.,[],"[{""type"": ""commandLine"", ""value"": ""N/A""}, {""type"": ""stratusRedTeam"", ""value"": ""https://stratus-red-team.cloud/attack-techniques/AWS/aws.impact.bedrock-invoke-model""}]",https://aws.permissions.cloud/iam/bedrock#bedrock-InvokeModel,"[{""technique"": ""T1020 - Automated Exfiltration"", ""reason"": ""The InvokeModel API call can be scripted to run repeatedly, allowing for the continuous extraction of data. For example, an attacker could automate requests to the API, each time providing new or varied prompts that extract different pieces of sensitive information""}, {""technique"": ""T1567 - Exfiltration Over Web Service"", ""reason"": ""An attacker who has access to AWS credentials can set up a process where InvokeModel API calls are made to generate sensitive information in small chunks. Each chunk of data, once generated, can be immediately sent to an S3 bucket or another cloud storage service controlled by the attacker. This method ensures that data is consistently moved out of the compromised environment without raising alarms associated with large data transfers.""}, {""technique"": ""T1203 - Exploitation for Client Execution"", ""reason"": ""Exploiting vulnerabilities in a model's interface could trigger unintended code execution through the InvokeModel API.""}]"
ListFoundationModelAgreementOffers,bedrock.amazonaws.com,Bedrock,Grants permission to get a list of foundation model agreement offers.,TA0007 - Discovery,T1580 - Cloud Infrastructure Discovery,,True,"[{""description"": ""Detecting AI resource-hijacking with Composite Alerts"", ""link"": ""https://www.lacework.com/blog/detecting-ai-resource-hijacking-with-composite-alerts""}]",[],Attackers might use ListFoundationModelAgreementOffers to enumerate accessible models.,[],"[{""type"": ""commandLine"", ""value"": ""N/A""}, {""type"": ""stratusRedTeam"", ""value"": ""https://stratus-red-team.cloud/attack-techniques/AWS/aws.impact.bedrock-invoke-model""}]",https://aws.permissions.cloud/iam/bedrock#bedrock-ListFoundationModelAgreementOffers,"[{""technique"": ""T1591.002 - Gather Victim Org Information: Business Relationships"", ""reason"": ""The list of foundation model agreement offers can provide insights into the organization's partnerships and agreements with other entities, revealing valuable business relationship details.""}, {""technique"": ""T1591 - Gather Victim Org Information"", ""reason"": ""This API call might yield information about the internal structure of the organization, such as departments or teams involved with foundation models, contributing to a broader understanding of the target's organizational setup.""}, {""technique"": ""T1069 - Permission Groups Discovery"", ""reason"": ""The information retrieved from this API call could indicate which groups or roles within the AWS account have permissions to access these foundation models, helping to understand the permission hierarchy and potential targets for privilege escalation or further discovery.""}]"
PutUseCaseForModelAccess,bedrock.amazonaws.com,Bedrock,Grants permission to put a use case for model access.,TA0040 - Impact,T1496 - Resource Hijacking,,True,"[{""description"": ""Detecting AI resource-hijacking with Composite Alerts"", ""link"": ""https://www.lacework.com/blog/detecting-ai-resource-hijacking-with-composite-alerts""}, {""description"": ""When AI Gets Hijacked: Exploiting Hosted Models for Dark Roleplaying"", ""link"": ""https://permiso.io/blog/exploiting-hosted-models""}, {""description"": ""New Developments in LLM Hijacking Activity"", ""link"": ""https://www.wiz.io/blog/jinx-2401-llm-hijacking-aws""}, {""description"": ""Datadog threat roundup: top insights for Q4 2024"", ""link"": ""https://securitylabs.datadoghq.com/articles/2024-q4-threat-roundup/""}]",[],Attackers might use PutUseCaseForModelAccess to prepare for using foundation models for resource hijacking.,[],"[{""type"": ""commandLine"", ""value"": ""N/A""}, {""type"": ""stratusRedTeam"", ""value"": ""https://stratus-red-team.cloud/attack-techniques/AWS/aws.impact.bedrock-invoke-model""}]",https://aws.permissions.cloud/iam/bedrock#bedrock-PutUseCaseForModelAccess,"[{""technique"": ""T1078 - Valid Accounts"", ""reason"": ""Although not creating new users, it enables valid accounts to access models, which can be exploited for continued access.""}, {""technique"": ""T1098 - Account Manipulation"", ""reason"": ""This API call allows manipulation of permissions related to model access, which can be leveraged for privilege escalation or maintaining access.""}]"
ListAgents,bedrock.amazonaws.com,Bedrock,Lists the agents belonging to an account and information about each agent.,TA0007 - Discovery,T1580 - Cloud Infrastructure Discovery,,True,"[{""description"": ""AI-assisted cloud intrusion achieves admin access in 8 minutes"", ""link"": ""https://www.sysdig.com/blog/ai-assisted-cloud-intrusion-achieves-admin-access-in-8-minutes""}]",[],"Attackers might use ListAgents to inventory AI agents, map their integrations, and select high-impact targets for further compromise.",[],"[{""type"": ""commandLine"", ""value"": ""aws bedrock-agent list-agents""}]",https://aws.permissions.cloud/iam/bedrock#bedrock-ListAgents,"[{""technique"": ""T1087 - Account Discovery"", ""reason"": ""Enumerating agents can reveal the business functions and AWS principals associated with each agent, helping attackers understand which identities are valuable targets.""}, {""technique"": ""T1069 - Permission Groups Discovery"", ""reason"": ""Inspecting agent configurations can expose which IAM roles and policies they rely on, informing privilege-escalation plans.""}]"
ListFoundationModels,bedrock.amazonaws.com,Bedrock,Grants permission to list Bedrock foundation models that you can use.,TA0007 - Discovery,T1580 - Cloud Infrastructure Discovery,,True,"[{""description"": ""Detecting AI resource-hijacking with Composite Alerts"", ""link"": ""https://www.lacework.com/blog/detecting-ai-resource-hijacking-with-composite-alerts""}, {""description"": ""Datadog threat roundup: top insights for Q4 2024"", ""link"": ""https://securitylabs.datadoghq.com/articles/2024-q4-threat-roundup/""}, {""description"": ""AI-assisted cloud intrusion achieves admin access in 8 minutes"", ""link"": ""https://www.sysdig.com/blog/ai-assisted-cloud-intrusion-achieves-admin-access-in-8-minutes""}]",[],Attackers might use ListFoundationModels to enumerate accessible models.,[],"[{""type"": ""commandLine"", ""value"": ""N/A""}]",https://aws.permissions.cloud/iam/bedrock#bedrock-ListFoundationModels,"[{""technique"": ""T1087 - Account Discovery"", ""reason"": ""Listing foundation models can help an adversary understand what cloud resources are available and their configurations""}, {""technique"": ""T1057 - Process Discovery"", ""reason"": ""Listing foundation models can be a step towards understanding the processes and operations running within the cloud environment.""}, {""technique"": ""T1069 - Permission Groups Discovery"", ""reason"": ""Identifying which models are accessible can reveal information about permission groups and roles within the cloud environment""}, {""technique"": ""T1082 - System Information Discovery"", ""reason"": ""Listing foundation models helps in gathering detailed system information.""}, {""technique"": ""T1482 - Domain Trust Discovery"", ""reason"": ""Adversaries may list foundation models to understand the trust relationships and dependencies between different cloud resources.""}]"
GetUseCaseForModelAccess,bedrock.amazonaws.com,Bedrock,Grants permission to retrieve a use case for model access.,TA0007 - Discovery,T1580 - Cloud Infrastructure Discovery,,True,"[{""description"": ""Detecting AI resource-hijacking with Composite Alerts"", ""link"": ""https://www.lacework.com/blog/detecting-ai-resource-hijacking-with-composite-alerts""}, {""description"": ""When AI Gets Hijacked: Exploiting Hosted Models for Dark Roleplaying"", ""link"": ""https://permiso.io/blog/exploiting-hosted-models""}]",[],Attackers might use GetUseCaseForModelAccess to enumerate accessible models.,[],"[{""type"": ""commandLine"", ""value"": ""N/A""}]",https://aws.permissions.cloud/iam/bedrock#bedrock-GetUseCaseForModelAccess,"[{""technique"": ""T1078 - Valid Accounts: Cloud Accounts"", ""reason"": ""If an attacker obtains credentials to use the GetUseCaseForModelAccess API call, they can gather sensitive information about model access use cases, which may aid further malicious activity.""}, {""technique"": ""T1082 - System Information Discovery"", ""reason"": ""The GetUseCaseForModelAccess API call can be used to collect details about model access, revealing important information about the environment and configurations, which is a form of system discovery.""}, {""technique"": ""T1005 - Data from Local System"", ""reason"": ""The API call can potentially be used to extract detailed data regarding model use cases, equivalent to gathering sensitive data from the local cloud environment.""}, {""technique"": ""T1530 - Data from Cloud Storage"", ""reason"": ""If the GetUseCaseForModelAccess API provides links or references to data stored in cloud storage, an attacker could use it to access and exfiltrate sensitive data.""}, {""technique"": ""T1020 - Automated Exfiltration"", ""reason"": ""An attacker could script the API call to automatically extract and exfiltrate information about model use cases over time.""}, {""technique"": ""T1074 - Data Staged"", ""reason"": ""Step-by-step explanation: The results from the GetUseCaseForModelAccess call could be staged locally in the attacker's environment for later exfiltration or use.""}]"
ListProvisionedModelThroughputs,bedrock.amazonaws.com,Bedrock,Grants permission to list provisioned model throughputs that you created earlier.,TA0007 - Discovery,T1580 - Cloud Infrastructure Discovery,,True,"[{""description"": ""Detecting AI resource-hijacking with Composite Alerts"", ""link"": ""https://www.lacework.com/blog/detecting-ai-resource-hijacking-with-composite-alerts""}, {""description"": ""AI-assisted cloud intrusion achieves admin access in 8 minutes"", ""link"": ""https://www.sysdig.com/blog/ai-assisted-cloud-intrusion-achieves-admin-access-in-8-minutes""}]",[],Attackers might use ListProvisionedModelThroughputs to gather information on existing inputs and outputs for models in use.,[],"[{""type"": ""commandLine"", ""value"": ""N/A""}]",https://aws.permissions.cloud/iam/bedrock#bedrock-ListProvisionedModelThroughputs,"[{""technique"": ""T1087.004 - Cloud Account"", ""reason"": ""The ListProvisionedModelThroughputs API call can help an attacker identify active cloud accounts and associated resources by listing the provisioned models, providing insight into the resources allocated in the cloud environment.""}, {""technique"": ""T1082 - System Information Discovery"", ""reason"": ""This API call can be used to gather information about the configuration and state of the provisioned model throughputs, which contributes to understanding the system's current setup and operational status.""}, {""technique"": ""T1530 - Data from Cloud Storage Object"", ""reason"": ""By listing provisioned model throughputs, an attacker can potentially identify models and associated data stored in cloud storage, enabling them to target specific data repositories.""}, {""technique"": ""T1078 - Valid Accounts"", ""reason"": ""Legitimate cloud accounts with access to this API call can be used to gather information on provisioned models. If an attacker gains control of such an account, they can enumerate resources to assess what data and services are available within the cloud environment.""}]"
ListKnowledgeBases,bedrock.amazonaws.com,Bedrock,Lists the knowledge bases in an account. The list also includes information about each knowledge base.,TA0007 - Discovery,T1580 - Cloud Infrastructure Discovery,,True,"[{""description"": ""AI-assisted cloud intrusion achieves admin access in 8 minutes"", ""link"": ""https://www.sysdig.com/blog/ai-assisted-cloud-intrusion-achieves-admin-access-in-8-minutes""}]",[],Attackers might use ListKnowledgeBases to identify connected data repositories and prioritize follow-on data theft or sabotage.,[],"[{""type"": ""commandLine"", ""value"": ""aws bedrock-agent list-knowledge-bases""}]",https://aws.permissions.cloud/iam/bedrock#bedrock-ListKnowledgeBases,"[{""technique"": ""T1082 - System Information Discovery"", ""reason"": ""Enumerating knowledge bases reveals what enterprise data sources are connected to AI workloads and how they are configured.""}, {""technique"": ""T1530 - Data from Cloud Storage Object"", ""reason"": ""A list of knowledge bases can point attackers to valuable document stores or vector databases that might contain sensitive data.""}]"
